"","CASE_STATUS","EMPLOYER_STATE","SOC_NAME","FULL_TIME_POSITION","PREVAILING_WAGE","PW_SOURCE","WAGE_RATE_OF_PAY_FROM","WORKSITE_STATE","DECISION_DURATION","EMPLOYMENT_DURATION"
"2800","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",77771,"OES",77771,"Midwest",4,1093
"2801","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",110386,"OES",110500,"West",6,1095
"2804","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",67642,"OES",76372,"West",4,1093
"2805","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",72010,"OES",72010,"West",6,1095
"2806","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",124675,"OES",124675,"West",6,711
"2807","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",81600,"Other",1e+05,"West",6,1095
"2809","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",62.66,"OES",73,"South",6,1095
"2810","CERTIFIED","South","COMPUTER PROGRAMMERS","Y",65187,"OES",81837,"South",6,666
"2811","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90584,"OES",1e+05,"Midwest",4,1095
"2813","CERTIFIED","Midwest","MECHANICAL ENGINEERS","Y",62650,"OES",69000,"Midwest",6,1096
"2814","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",98987,"OES",130000,"West",4,1095
"2815","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",77002,"OES",77002,"Midwest",6,1073
"2818","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",82784,"OES",82784,"Midwest",6,1095
"2819","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",65291,"OES",72139,"Midwest",6,1093
"2820","CERTIFIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",63419,"OES",72000,"Mid-Atlantic",6,1096
"2821","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",98987,"OES",106600,"West",94,1094
"2826","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",65749,"OES",73835,"South",6,1093
"2827","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",117770,"OES",117770,"West",7,1095
"2828","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90646,"OES",100500,"South",6,1094
"2831","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",71781,"OES",71781,"Mid-Atlantic",7,1095
"2833","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90813,"OES",105000,"Mid-Atlantic",6,1095
"2835","CERTIFIED","West","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",79227,"OES",121000,"Mid-Atlantic",4,1095
"2836","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80200,"Other",90000,"West",6,1096
"2837","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",58885,"OES",59000,"Southwest",823,1095
"2838","CERTIFIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",69763,"OES",110000,"Midwest",7,1095
"2839","CERTIFIED","South","MANAGEMENT ANALYSTS","Y",109200,"OES",301000,"West",6,1095
"2840","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",71906,"OES",72000,"Midwest",4,1096
"2842","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",88067,"OES",88067,"New England",6,1096
"2844","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",106101,"OES",125100,"West",6,1095
"2848","CERTIFIED","West","COMPUTER PROGRAMMERS","Y",73091,"Other",90000,"West",6,1095
"2849","CERTIFIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",65749,"OES",65749,"Mid-Atlantic",6,1096
"2850","CERTIFIED","South","ACCOUNTANTS AND AUDITORS","Y",47902,"OES",48000,"South",6,1095
"2851","CERTIFIED","West","COMPUTER PROGRAMMERS","Y",56992,"OES",79000,"West",6,1096
"2852","CERTIFIED","West","ACCOUNTANTS AND AUDITORS","Y",63086,"OES",68000,"West",6,1094
"2856","CERTIFIED","Southwest","COMPUTER PROGRAMMERS","Y",50086,"Other",70000,"Midwest",6,1095
"2857","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90646,"OES",90646,"Southwest",6,1095
"2858","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55910,"Other",75000,"Mid-Atlantic",6,1095
"2860","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",73902,"Other",75000,"Mid-Atlantic",6,1095
"2861","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",64813,"OES",65000,"Mid-Atlantic",6,1095
"2862","CERTIFIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",31.57,"OES",45,"West",7,1094
"2864","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",58282,"OES",60000,"South",14,1096
"2866","CERTIFIED","Mid-Atlantic","MANAGEMENT ANALYSTS","Y",61048,"OES",65000,"New England",4,1095
"2867","CERTIFIED","South","COMPUTER SYSTEMS ANALYSTS","Y",75442,"Other",95000,"Midwest",6,1095
"2868","CERTIFIED","South","COMPUTER SYSTEMS ANALYSTS","Y",95451,"OES",1e+05,"South",6,1095
"2869","CERTIFIED","Mid-Atlantic","ELECTRICAL ENGINEERS","Y",67330,"Other",67330,"South",7,324
"2870","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",83970,"OES",91000,"Southwest",4,1095
"2871","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",61942,"OES",74000,"South",6,1096
"2873","CERTIFIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",64688,"Other",78000,"Southwest",7,1095
"2874","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",122533,"OES",151465,"West",6,1095
"2875","CERTIFIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",91125,"OES",91200,"West",7,1095
"2877","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80933,"OES",110000,"South",4,1095
