"","CASE_STATUS","EMPLOYER_STATE","SOC_NAME","FULL_TIME_POSITION","PREVAILING_WAGE","PW_SOURCE","WAGE_RATE_OF_PAY_FROM","WORKSITE_STATE","DECISION_DURATION","EMPLOYMENT_DURATION"
"2","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",109762,"OES",116000,"West",1016,1095
"4","DENIED","West","MANAGEMENT ANALYSTS","Y",56118,"Other",56118,"South",0,1096
"5","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",95805,"OES",95805,"South",0,1095
"6","DENIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",76586,"OES",76586,"Southwest",2,1095
"7","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",0,1096
"9","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",77210,"OES",119000,"Midwest",7,1095
"10","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",91541,"Other",1e+05,"Midwest",0,1096
"12","DENIED","South","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",83221,"OES",105000,"South",4,1095
"13","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90002,"OES",90002,"Southwest",2,1095
"14","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",82763,"OES",136672.8,"Southwest",560,1095
"15","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",88317,"OES",88317,"Mid-Atlantic",0,1096
"18","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",45.3,"OES",48.5,"Midwest",0,1095
"19","DENIED","South","FINANCIAL ANALYSTS","Y",46197,"OES",49000,"Midwest",1087,1095
"20","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",65666,"OES",65666,"West",0,1095
"23","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90106,"OES",91000,"Southwest",0,1095
"24","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",167482,"OES",66830,"Midwest",4,1096
"28","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",3,1096
"29","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",102461,"OES",102461,"Midwest",5,1096
"30","DENIED","South","COMPUTER PROGRAMMERS","Y",59467,"OES",64979,"South",802,1095
"32","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",83346,"OES",90677,"West",4,1096
"33","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",74110,"OES",107140.8,"South",666,1095
"34","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",87859,"OES",87859,"South",0,1095
"36","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",67184,"OES",68000,"Southwest",7,1095
"37","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90688,"OES",90688,"Mid-Atlantic",4,1095
"38","DENIED","West","MANAGEMENT ANALYSTS","Y",40.24,"OES",40.24,"West",3,1096
"40","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",0,1096
"41","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",102900,"Other",122033,"West",1,92
"42","DENIED","West","ACCOUNTANTS AND AUDITORS","N",18.49,"OES",18.5,"West",2,1094
"43","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",95077,"OES",95077,"Southwest",1068,1095
"47","DENIED","Midwest","PHYSICIANS AND SURGEONS, ALL OTHER","Y",56701,"OES",180000,"Midwest",0,1096
"48","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",71261,"OES",77604,"Midwest",1046,905
"49","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",65749,"OES",65749,"Mid-Atlantic",0,1096
"50","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55910,"OES",60000,"Mid-Atlantic",6,1095
"51","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",136573,"OES",190000,"West",156,1095
"52","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",63357,"Other",70000,"Mid-Atlantic",6,1095
"53","DENIED","Mid-Atlantic","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",19.55,"OES",19.75,"Mid-Atlantic",1,1095
"55","DENIED","Midwest","COMPUTER PROGRAMMERS","Y",56285,"Other",65000,"Midwest",3,1094
"57","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80746,"OES",81000,"West",1049,1096
"58","DENIED","South","COMPUTER PROGRAMMERS","Y",97843,"OES",102000,"South",0,1094
"61","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90646,"OES",115000,"South",230,1094
"62","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",65541,"OES",120000,"Mid-Atlantic",7,1095
"64","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",96720,"Other",96720,"West",2,1096
"65","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",63315,"Other",60000,"South",0,1095
"66","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",30.37,"Other",30.37,"West",3,1095
"67","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",135898,"OES",135898,"West",4,1095
"68","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",69805,"OES",70221,"Mid-Atlantic",1,1095
"69","DENIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",65208,"OES",78957,"Mid-Atlantic",0,1095
"72","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",75795,"OES",77400,"Midwest",1,1095
"73","DENIED","South","COMPUTER PROGRAMMERS","Y",68370,"OES",73625,"South",0,472
"74","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",53165,"OES",68280,"Mid-Atlantic",6,1095
"75","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",79352,"OES",80000,"Mid-Atlantic",1,1095
"77","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",64522,"OES",65000,"Midwest",1,1096
"78","DENIED","South","COMPUTER PROGRAMMERS","Y",74090,"OES",78506,"Mid-Atlantic",1,823
"80","DENIED","West","COMPUTER SYSTEMS ANALYST","Y",78333,"OES",109617,"Midwest",6,1094
"81","DENIED","South","COMPUTER PROGRAMMERS","Y",86091,"OES",86091,"Midwest",0,1095
"82","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",77979,"OES",75000,"Midwest",1,119
"84","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",65042,"OES",83200,"West",2,1096
"87","DENIED","South","PHYSICIANS AND SURGEONS, ALL OTHER","Y",95.23,"Other",125,"South",0,1094
"88","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",122533,"Other",140000,"West",0,1096
"89","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",77210,"OES",103100.4,"Mid-Atlantic",753,1095
"93","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",95160,"OES",124400,"Mid-Atlantic",2,1095
"94","DENIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",74173,"OES",74173,"Midwest",3,1094
"97","DENIED","South","MECHANICAL ENGINEERS","Y",15.97,"OES",19,"South",6,1094
"98","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",62234,"OES",68000,"West",4,1095
"100","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",85654,"Other",95000,"Midwest",4,1095
"101","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90813,"OES",90813,"Mid-Atlantic",3,1095
"102","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",76835,"OES",90000,"West",1,1095
"103","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80870,"Other",80870,"West",1,1096
"104","DENIED","South","MECHANICAL ENGINEERS","Y",60050,"OES",60050,"South",2,1096
"105","DENIED","South","OPERATIONS RESEARCH ANALYSTS","Y",41725,"Other",41725,"South",0,1096
"106","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",105010,"Other",124000,"West",5,1095
"109","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",74443,"OES",80000,"West",0,1093
"110","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",63357,"Other",70000,"Mid-Atlantic",6,1095
"111","DENIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",106954,"OES",116000,"Mid-Atlantic",4,1095
"112","DENIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",107744,"OES",136000,"New England",0,733
"115","DENIED","New England","ACCOUNTANTS AND AUDITORS","N",26.69,"OES",26.69,"New England",5,1095
"116","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",68557,"OES",68557,"Midwest",0,789
"117","DENIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",78957,"OES",78957,"Southwest",2,1095
"118","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",62234,"OES",68000,"West",4,1095
"119","DENIED","New England","COMPUTER OCCUPATIONS, ALL OTHER","Y",79456,"Other",90000,"Midwest",5,1096
"120","DENIED","West","PHYSICIANS AND SURGEONS, ALL OTHER","Y",55141,"OES",649956,"West",0,1095
"121","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",56638,"OES",57000,"Mid-Atlantic",0,1095
"122","DENIED","Southwest","COMPUTER PROGRAMMERS","Y",45011,"OES",79992,"Southwest",0,1095
"123","DENIED","South","PHYSICIANS AND SURGEONS, ALL OTHER","Y",76.02,"OES",107.3,"South",6,1094
"127","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",130333,"OES",117000,"South",0,1096
"130","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",65083,"Other",66000,"Mid-Atlantic",0,1095
"131","DENIED","South","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","N",26.52,"Other",27,"South",0,910
"132","DENIED","South","MANAGEMENT ANALYSTS","Y",47091,"OES",72000,"South",1221,1095
"133","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",62234,"OES",71000,"Mid-Atlantic",1,1096
"134","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",29.79,"OES",37.6,"Midwest",1,1096
"135","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",62234,"OES",68000,"West",4,1095
"137","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",93205,"OES",141000,"West",6,1094
"139","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",63898,"OES",70000,"South",525,1095
"141","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",74152,"OES",88000,"Mid-Atlantic",0,1095
"144","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",113693,"OES",113693,"South",6,1095
"145","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",90584,"Other",103000,"Midwest",1,1095
"146","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",84864,"OES",1e+05,"Mid-Atlantic",1,1095
"148","DENIED","South","ACCOUNTANTS AND AUDITORS","Y",42120,"OES",42120,"Midwest",4,1095
"149","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",35.79,"Other",41.83,"West",166,1095
"152","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",62234,"OES",64000,"Mid-Atlantic",3,1095
"153","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",63315,"OES",70000,"Mid-Atlantic",0,1094
"154","DENIED","Mid-Atlantic","MANAGEMENT ANALYSTS","Y",56555,"OES",60115,"Mid-Atlantic",4,1096
"155","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",91603,"OES",92000,"New England",5,1095
"156","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",51189,"OES",62000,"South",2,1095
"157","DENIED","South","MECHANICAL ENGINEERS","Y",55910,"OES",68209.6,"South",0,1095
"158","DENIED","Midwest","MECHANICAL ENGINEERS","Y",62650,"OES",68370,"Midwest",1,1096
"163","DENIED","Mid-Atlantic","OPERATIONS RESEARCH ANALYSTS","Y",58136,"OES",58136,"Mid-Atlantic",164,1096
"166","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",65978,"OES",72113.6,"West",6,1095
"168","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",66186,"OES",78972,"New England",0,1095
"169","DENIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",62754,"OES",62754,"Southwest",0,552
"172","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80933,"OES",85000,"South",289,1095
"176","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",62213,"Other",62500,"South",215,1095
"179","DENIED","South","COMPUTER PROGRAMMERS","Y",60091,"Other",106496,"Mid-Atlantic",6,1095
"180","DENIED","Southwest","MANAGEMENT ANALYSTS","Y",83408,"OES",83408,"West",685,1095
"181","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",104666,"Other",105000,"South",1,1095
"182","DENIED","South","ACCOUNTANTS AND AUDITORS","N",31.11,"Other",31.11,"South",5,1095
"184","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",87818,"OES",87818,"Mid-Atlantic",1,1095
"186","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",96824,"OES",96824,"Midwest",6,1095
"188","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",103272,"OES",105000,"Mid-Atlantic",0,1095
"189","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",96470,"OES",96500,"Midwest",5,1095
"191","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",82098,"Other",82098,"South",1,1096
"192","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70990,"OES",76304.4,"South",1077,1095
"193","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80870,"OES",80870,"West",5,1095
"194","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",72571,"OES",72600,"Southwest",1,1095
"195","DENIED","Mid-Atlantic","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",63128,"OES",70000,"South",0,1065
"196","DENIED","New England","PHYSICIANS AND SURGEONS, ALL OTHER","Y",57611,"Other",60006.26,"New England",1,729
"197","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",127608,"Other",127608,"West",3,1095
"198","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",92768,"OES",160000,"Mid-Atlantic",0,1096
"199","DENIED","South","OPERATIONS RESEARCH ANALYSTS","Y",51376,"OES",140000,"South",5,1095
"200","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",74443,"OES",74443,"West",361,1095
"201","DENIED","South","COMPUTER PROGRAMMERS","Y",63024,"OES",71319,"South",0,687
"203","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",56680,"Other",57000,"Southwest",10,1095
"204","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",86760,"OES",74443,"West",6,1095
"205","DENIED","Midwest","OPERATIONS RESEARCH ANALYSTS","Y",69763,"OES",69763,"Midwest",1,1095
"208","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",65187,"OES",65187,"South",0,1095
"209","DENIED","Southwest","COMPUTER PROGRAMMERS","Y",70554,"OES",71000,"Southwest",0,1095
"211","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",67538,"OES",80000,"Midwest",0,1096
"214","DENIED","New England","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",29.32,"OES",30,"New England",0,1095
"216","DENIED","Mid-Atlantic","PHYSICIANS AND SURGEONS, ALL OTHER","Y",54107,"Other",55002,"Mid-Atlantic",2,1095
"217","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",85322,"Other",91000,"West",949,1095
"219","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",35.79,"Other",35.79,"West",2,1095
"221","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"Other",68827,"Southwest",1,1096
"222","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",106454,"Other",140000,"West",165,1094
"224","DENIED","Mid-Atlantic","MECHANICAL ENGINEERS","Y",55702,"OES",65000,"South",1,1095
"225","DENIED","West","ACCOUNTANTS AND AUDITORS","Y",18.49,"OES",23,"West",0,1095
"227","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",65042,"Other",65500,"Southwest",354,1094
"228","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",86902,"OES",80000,"South",1,1094
"230","DENIED","Southwest","COMPUTER PROGRAMMERS","Y",67891,"OES",68000,"Southwest",0,1095
"231","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",61589,"OES",63400,"South",0,1095
"234","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",3,1096
"236","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",42557,"OES",69900,"Midwest",0,1095
"237","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",67184,"OES",68000,"Southwest",4,1095
"238","DENIED","South","ACCOUNTANTS AND AUDITORS","N",23.03,"Other",23.5,"South",1,1096
"239","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",100568,"OES",118000,"Mid-Atlantic",0,1096
"240","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",60000,"OES",60000,"South",1,1095
"241","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55349,"OES",55349,"Mid-Atlantic",0,1095
"242","DENIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",115274,"Other",140000,"Southwest",0,1095
"243","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",79186,"OES",79186,"Southwest",814,1095
"244","DENIED","Midwest","OPERATIONS RESEARCH ANALYSTS","Y",66810,"OES",80000,"Midwest",0,1084
"246","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",117603,"OES",117603,"West",636,1096
"248","DENIED","Mid-Atlantic","MANAGEMENT ANALYSTS","N",27.98,"OES",28,"Mid-Atlantic",0,1095
"249","DENIED","Midwest","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",108264,"OES",109000,"Midwest",3,1096
"250","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",50440,"Other",80000,"South",3,1096
"251","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",86507,"OES",120000,"Mid-Atlantic",0,1095
"252","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",96900,"Other",96900,"Mid-Atlantic",0,1094
"253","DENIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",54392,"OES",72000,"Southwest",1,1095
"254","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",73590,"OES",74000,"Mid-Atlantic",2,1095
"255","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",96179,"OES",139000,"Southwest",6,1094
"256","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",81952,"OES",81952,"Southwest",434,1095
"257","DENIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",90584,"OES",107100,"Midwest",7,1096
"259","DENIED","South","FINANCIAL ANALYSTS","Y",66102,"OES",60000,"South",5,1094
"260","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",122653,"Other",125000,"West",1,1095
"263","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",61048,"OES",61600,"Midwest",312,1094
"264","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",65478,"OES",76280,"New England",2,1095
"265","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",106887,"Other",106887,"West",1,1095
"266","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",67205,"OES",70000,"Mid-Atlantic",1072,1095
"267","DENIED","West","OPERATIONS RESEARCH ANALYSTS","Y",101026,"OES",101026,"West",1,1095
"268","DENIED","West","ELECTRICAL ENGINEERS","Y",97386,"OES",1e+05,"West",1228,1095
"270","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70221,"OES",78000,"Mid-Atlantic",0,1095
"271","DENIED","West","ACCOUNTANTS AND AUDITORS","Y",43888,"OES",50000,"West",0,1095
"272","DENIED","West","FINANCIAL ANALYSTS","Y",75338,"OES",75338,"West",0,1095
"273","DENIED","South","COMPUTER PROGRAMMERS","Y",70034,"OES",70034,"South",2,1094
"274","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",39.57,"OES",51.01,"Midwest",1,674
"277","DENIED","Midwest","MECHANICAL ENGINEERS","Y",75774,"OES",76000,"Midwest",0,1095
"278","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",78083,"OES",79000,"Midwest",0,1094
"280","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",77771,"Other",78000,"Midwest",1,1094
"282","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",54579,"OES",60000,"Mid-Atlantic",0,1095
"286","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",75941,"Other",75941,"West",1,1095
"287","DENIED","Midwest","COMPUTER PROGRAMMERS","Y",65146,"OES",79380,"South",6,1094
"289","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",106101,"OES",107000,"West",1,1096
"290","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",25.57,"OES",30,"Mid-Atlantic",2,1094
"295","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",124592,"OES",130000,"Mid-Atlantic",168,1095
"297","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",47154,"OES",60000,"South",0,1096
"298","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",69347,"Other",70000,"Midwest",0,965
"300","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",61339,"OES",79956,"Mid-Atlantic",1034,1095
"302","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",110926,"Other",110926,"Southwest",797,1095
"303","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",69000,"Southwest",0,1095
"304","DENIED","West","OPERATIONS RESEARCH ANALYSTS","Y",101026,"OES",101026,"West",1,1094
"305","DENIED","South","COMPUTER PROGRAMMERS","Y",31.25,"OES",45.5,"Midwest",0,237
"306","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",35.79,"Other",40.44,"West",133,1095
"308","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",84240,"OES",84240,"Southwest",0,1096
"309","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",44824,"OES",60000,"Mid-Atlantic",3,1095
"310","DENIED","Midwest","OPERATIONS RESEARCH ANALYSTS","Y",40706,"OES",40706,"South",1,1095
"312","DENIED","West","MANAGEMENT ANALYSTS","N",36.94,"OES",36.95,"West",0,1095
"313","DENIED","Mid-Atlantic","PHYSICIANS AND SURGEONS, ALL OTHER","Y",57930,"Other",59573,"Mid-Atlantic",5,1095
"314","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",136573,"OES",180000,"West",0,1095
"317","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",68952,"OES",68952,"Midwest",8,303
"318","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",154003,"OES",2e+05,"Mid-Atlantic",0,542
"319","DENIED","South","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",54309,"Other",54400,"Southwest",4,1095
"321","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",118706,"OES",118706,"Mid-Atlantic",2,1095
"326","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",72000,"Southwest",2,1095
"327","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",58282,"OES",75000,"Midwest",0,1095
"328","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",169749,"OES",169749,"West",0,1095
"329","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",70845,"OES",106100,"Midwest",611,1096
"330","DENIED","Midwest","ELECTRICAL ENGINEERS","Y",81515,"OES",82000,"Midwest",6,1095
"331","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",100154,"Other",100154,"West",0,1095
"333","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",42099,"OES",60000,"Midwest",0,1094
"334","DENIED","West","ACCOUNTANTS AND AUDITORS","N",22.13,"OES",22.13,"West",0,1095
"336","DENIED","West","PHYSICIANS AND SURGEONS, ALL OTHER","Y",187200,"OES",4e+05,"West",2,995
"337","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",100755,"OES",120000,"Mid-Atlantic",486,1096
"338","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68931,"OES",1e+05,"Midwest",618,1095
"339","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",40.8,"Other",41,"Mid-Atlantic",2,485
"341","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",53165,"OES",53165,"Mid-Atlantic",1,1096
"342","DENIED","South","COMPUTER PROGRAMMERS","Y",70034,"OES",71074,"South",0,851
"343","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",64147,"OES",64147,"Mid-Atlantic",2,1095
"344","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",92290,"OES",92290,"West",547,1094
"345","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",52166,"OES",80000,"Midwest",6,730
"346","DENIED","Southwest","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",56035,"Other",78000,"Midwest",0,729
"348","DENIED","Southwest","MECHANICAL ENGINEERS","Y",66040,"OES",66040,"Southwest",1,1095
"349","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",107266,"OES",107266,"West",0,1095
"350","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",3,1096
"351","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",120349,"OES",120349,"West",470,1094
"352","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",77917,"Other",78000,"Midwest",1,364
"353","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",86362,"OES",110000,"West",461,1094
"355","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",84522,"OES",84522,"Mid-Atlantic",0,1095
